OrderID,OrderLine,SalesID,CusID,ProductID,Type,QTY,Price,TotalLine,DateCreate,OrderDate
HD001,1,MX020,KH001,MXSP01,ONLINE,1,55,55,03/04/2022,03/03/2022
HD001,2,MX020,KH001,MXSP02,ONLINE,1,50,50,03/04/2022,03/03/2022
HD001,3,MX020,KH001,MXSP03,ONLINE,1,100,100,03/04/2022,03/03/2022
HD002,4,MX023,KH004,MXSP04,OFFLINE,1,280,280,03/04/2022,03/03/2022
HD003,5,MX024,KH005,MXSP05,OFFLINE,1,180,180,03/04/2022,03/03/2022
HD004,6,MX025,KH006,MXSP06,OFFLINE,1,60,60,03/04/2022,03/03/2022
HD005,7,MX023,KH006,MXSP07,OFFLINE,1,40,40,03/04/2022,03/03/2022
HD005,8,MX023,KH006,MXSP08,OFFLINE,1,62,62,03/04/2022,03/03/2022
HD005,9,MX023,KH006,MXSP09,OFFLINE,2,30,60,03/04/2022,03/03/2022
HD005,10,MX023,KH006,MXSP10,OFFLINE,2,60,120,03/04/2022,03/03/2022
HD006,11,MX026,KH006,MXSP11,ONLINE,2,80,160,03/04/2022,03/03/2022
HD007,12,MX026,KH006,MXSP12,ONLINE,2,35,70,03/04/2022,03/03/2022
HD008,13,MX020,KH006,MXSP13,ONLINE,2,30,60,03/04/2022,03/03/2022
HD009,14,MX026,KH014,MXSP14,ONLINE,2,40,80,03/04/2022,03/03/2022
HD010,15,MX021,KH015,MXSP15,ONLINE,2,25,50,03/04/2022,03/03/2022
HD011,16,MX026,KH022,MXSP16,ONLINE,2,42,84,03/04/2022,03/03/2022
HD012,17,MX023,KH015,MXSP17,ONLINE,2,80,160,03/04/2022,03/03/2022
HD013,18,MX022,KH015,MXSP18,ONLINE,2,32,64,03/04/2022,03/03/2022
HD014,19,MX026,KH015,MXSP19,ONLINE,2,60,120,03/04/2022,03/03/2022
HD015,20,MX026,KH015,MXSP20,ONLINE,2,30,60,03/04/2022,03/03/2022
HD016,21,MX026,KH021,MXSP21,ONLINE,2,59,118,03/04/2022,03/03/2022
HD017,22,MX026,KH022,MXSP18,ONLINE,2,32,64,03/04/2022,03/03/2022
HD018,23,MX026,KH023,MXSP19,ONLINE,2,60,120,03/04/2022,03/03/2022
HD019,24,MX020,KH024,MXSP20,OFFLINE,2,30,60,03/04/2022,03/03/2022
HD020,25,MX020,KH015,MXSP21,OFFLINE,2,59,118,03/04/2022,03/03/2022
HD021,26,MX020,KH026,MXSP21,OFFLINE,2,59,118,03/04/2022,03/03/2022
HD022,27,MX022,KH027,MXSP21,OFFLINE,2,59,118,03/04/2022,03/03/2022
HD023,28,MX020,KH006,MXSP21,OFFLINE,2,59,118,03/04/2022,03/03/2022
HD024,29,MX020,KH029,MXSP21,OFFLINE,2,59,118,03/04/2022,03/03/2022
